Name,Jones (vector)
10_26,{-4; 6; 1; -3; 6; -8; 10; -10; 9; -7; 4; -2; 1}
10_27,{-8; 2; -1; 3; -6; 9; -11; 12; -11; 9; -5; 3; -1}
10_28,{-7; 3; -1; 2; -4; 6; -7; 9; -8; 7; -5; 3; -1}
10_29,{-3; 7; 1; -2; 5; -7; 9; -11; 10; -8; 6; -3; 1}
10_30,{-1; 9; 1; -3; 6; -8; 11; -11; 10; -8; 5; -3; 1}
10_31,{-5; 5; -1; 2; -4; 7; -8; 10; -9; 7; -5; 3; -1}
10_32,{-4; 6; 1; -3; 6; -9; 11; -11; 11; -8; 5; -3; 1}
10_33,{-5; 5; -1; 3; -5; 8; -10; 11; -10; 8; -5; 3; -1}
10_34,{-7; 3; -1; 2; -3; 4; -5; 6; -5; 5; -3; 2; -1}
10_35,{-6; 4; 1; -2; 4; -6; 7; -8; 8; -6; 4; -2; 1}
10_36,{-1; 9; 1; -2; 4; -6; 8; -8; 8; -6; 4; -3; 1}
10_37,{-5; 5; -1; 2; -4; 7; -8; 9; -8; 7; -4; 2; -1}
10_38,{-1; 9; 1; -2; 5; -7; 9; -10; 9; -7; 5; -3; 1}
10_39,{0; 10; 1; -2; 5; -7; 9; -10; 10; -8; 5; -3; 1}
10_40,{-8; 2; -1; 3; -6; 9; -12; 13; -11; 10; -6; 3; -1}
10_41,{-3; 7; 1; -3; 6; -8; 11; -12; 11; -9; 6; -3; 1}
10_42,{-5; 5; -1; 3; -6; 10; -12; 14; -13; 10; -7; 4; -1}
10_43,{-5; 5; -1; 3; -6; 9; -11; 13; -11; 9; -6; 3; -1}
10_44,{-3; 7; 1; -3; 6; -9; 12; -13; 13; -10; 7; -4; 1}
10_45,{-5; 5; -1; 4; -7; 11; -14; 15; -14; 11; -7; 4; -1}
10_46,{1; 11; 1; -1; 3; -3; 4; -5; 4; -4; 3; -2; 1}
10_47,{-9; 1; -1; 2; -4; 5; -6; 7; -5; 5; -3; 2; -1}
10_48,{-5; 5; -1; 2; -4; 6; -7; 9; -7; 6; -4; 2; -1}
10_49,{3; 13; 1; -2; 5; -6; 9; -10; 9; -8; 5; -3; 1}
10_50,{0; 10; 1; -2; 5; -6; 8; -9; 8; -7; 4; -2; 1}
10_51,{-8; 2; -1; 2; -5; 8; -10; 12; -10; 9; -6; 3; -1}
10_52,{-4; 6; -1; 2; -4; 7; -8; 10; -9; 8; -6; 3; -1}
10_53,{2; 12; 1; -3; 7; -9; 12; -12; 11; -9; 5; -3; 1}
10_54,{-6; 4; -1; 2; -4; 6; -7; 8; -6; 6; -4; 2; -1}
10_55,{2; 12; 1; -2; 5; -7; 10; -10; 9; -8; 5; -3; 1}
10_56,{0; 10; 1; -2; 5; -7; 10; -11; 10; -9; 6; -3; 1}
10_57,{-8; 2; -1; 3; -7; 10; -12; 14; -12; 10; -6; 3; -1}
10_58,{-4; 6; 1; -2; 5; -8; 10; -11; 10; -8; 6; -3; 1}
10_59,{-3; 7; 1; -3; 6; -9; 12; -12; 12; -10; 6; -3; 1}
10_60,{-6; 4; 1; -3; 6; -10; 13; -14; 14; -11; 8; -4; 1}
10_61,{-2; 8; 1; -1; 3; -4; 4; -5; 5; -4; 3; -2; 1}
10_62,{-9; 1; -1; 2; -4; 6; -7; 7; -6; 6; -3; 2; -1}
10_63,{2; 12; 1; -2; 5; -7; 9; -9; 9; -7; 4; -3; 1}
10_64,{-3; 7; 1; -2; 4; -6; 8; -8; 8; -7; 4; -2; 1}
